case,comparison,reference,candidate,psnr,ssim,mae,rmse
hq_ext_pw_boar_4001_000000132622,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622_hide_pw_4001.png,19.5866,0.898452,18.2506,26.7429
hq_ext_pw_boar_4001_000000132622,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622_rec_w_4001.png,22.0942,0.943634,12.9364,20.0368
hq_ext_pw_boar_4001_000000132622,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622_rec_wo_4001.png,19.2881,0.893887,18.8263,27.6780
hq_ext_pw_boar_4002_000000132622,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622_hide_pw_4002.png,19.5998,0.898183,18.3746,26.7023
hq_ext_pw_boar_4002_000000132622,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622_rec_w_4002.png,21.9238,0.941811,12.9775,20.4338
hq_ext_pw_boar_4002_000000132622,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622_rec_wo_4002.png,19.2948,0.893502,19.2314,27.6566
hq_ext_pw_dog_5001_flickr_dog_000054,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054_hide_pw_5001.png,16.9613,0.869962,26.3775,36.1806
hq_ext_pw_dog_5001_flickr_dog_000054,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054_rec_w_5001.png,22.1394,0.964333,14.0865,19.9328
hq_ext_pw_dog_5001_flickr_dog_000054,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054_rec_wo_5001.png,17.1509,0.878033,25.6830,35.3992
hq_ext_pw_dog_5002_flickr_dog_000054,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054_hide_pw_5002.png,16.7327,0.872494,26.8187,37.1455
